Family,Common Name,Specific Name,Date,Location,Country,State,Total
Cinclidae,American Dipper,Cinclus mexicanus,,Vail,,Colorado,
Troglodytidae,Bewick's Wren,Thryomanes bewickii,,Palo alto,,California,
,Cactus Wren,Campylorhynchus bruneicapillus,,Phoenix,,Arizona,
,Canyon Wren,,,Grand Canyon,,Arizona,
,Carolina Wren,,,Backyard,,Nebraska,
,House Wren,Troglodytes aedon,,Backyard,,Nebraska,
,Marsh Wren,,,Calamus Reservoir,,Nebraska,
,Pacific Wren,Troglodytes troglodytes,,Big Sir,,California,
,Rock Wren,,,Craters of The Moon,,Idaho,
,Sedge Wren,Cistothorus platensis,5/4/18,Fontenelle Forest,,Nebraska,
Paridae,Black-capped Chickadee,Poecile atricapillus,,Backyard,,Nebraska,
,Bridled Titmouse,,,Madera Canyon,,Arizona,
,Carolina Chickadee,,5/11/19,Jakes Landing,,New Jersey,
,Chestnut-backed Chickadee,Poecile rufescens,,Big Sir,,California,
,Juniper Titmouse,Baeolophus ridgwayi,12/24/09,Arches National Park,,Utah,
,Mexican Chickadee,Poecile sclateri,6/10/18,Chiricahua National Forest,,Arizona,
,Mountain Chickadee,Poecile gambeli,,Vail,,Colorado,
,Oak Titmouse,Baeolophus inornatus,,Palo Alto,,California,
,Tufted Titmouse,Baeolophus bicolor,,Greenwich,,Connecticut,
Aegithalidae,Bushtit,Psaltriparus minimus,,Los Angeles,,California,
Remizidae,Verdin,Auriparus flaviceps,,Phoenix,,Arizona,
Sittidae,Pygmy Nuthatch,Sitta pygmaea,,San Simeon,,California,
,Red-breasted Nuthatch,Sitta canadensis,,Backyard,,Nebraska,
,White-breasted Nuthatch,Sitta carolinensis,,Backyard,,Nebraska,
Certhiidae,Brown Creeper,Certhia americana,,Backyard,,Nebraska,
Mimidae,Bendire's Thrasher,Toxostoma bendirei,6/10/18,Portal,,Arizona,
,Brown Thrasher,Toxostoma rufum,,Backyard,,Nebraska,
,California Thrasher,Toxostoma redivivum,2015,Stanford Campus,,California,
,Curve-billed Thrasher,Toxostoma curvirostre,,Scottsdale,,Arizona,
,Gray Catbird,Dumetella carolinensiss,,Backyard,,Nebraska,
,Northern Mockingbird,Mimus polyglottus,,Phoenix,,Arizona,
,Sage Thrasher,Oreoscoptes montanus,4/18/18,Gunnison,,Colorado,
Turdidae,American Robin,Turdus migratorius,,Backyard,,Nebraska,
,Eastern Bluebird,Sialia,,Hummel Park,,Nebraska,
,Gray-cheeked Thrush,,,Fontenelle Forest,,Nebraska,
,Hermit Thrush,,,Ann Arbor,,Michigan,
,Mountain Bluebird,Sialia,,Stanley,,Idaho,
,Swainson's Thrush,,,Fontenelle Forest,,Nebraska,
,Townsend's Solitaire,Myadestes townsendi,,Canyon de Chelly,,Arizona,
,Varied Thrush,Ixoreus naevius,,Cascade mountains,,Washington,
,Veery,,,W.O.N.R.,,Idaho,
,Western Bluebird,Sialia,,Palo Alto,,California,
,Wood Thrush,Hylocichla mustelina,5/4/18,Fontenelle Forest,,Nebraska,
Polioptilidae,Black-tailed Gnatcatcher,Polioptila melanura,12/30/09,Phoenix,,Arizona,
,Blue-gray Gnatcatcher,Polioptila caerulescens,,Hummel Park,,Nebraska,
,California Gnatcatcher,,12/24/17,Newport Beach,,California,
Laniidae,Northern Shrike,Lanius excubitor,,F.I.I.K.,,Nebraska,
,Loggerhead Shrike,Lanius ludovicianus,6/12/09,Lemmon,,South Dakota,
Corvidae,American Crow,,,Backyard,,Nebraska,
,Black-billed Magpie,,,Vail,,Colorado,
,Blue Jay,,,Backyard,,Nebraska,
,California Scrub-Jay,,,Pacific Highway,,California,
,Chihuahuan Raven,,,,,Colorado,
,Clark's Nutcracker,,,W.O.N.R.,,Idaho,
,Common Raven,,,Vail,,Colorado,
,Fish Crow,,,Todd's Point,,Connecticut,
,Gray Jay,,,Vail,,Colorado,
,Mexican Jay,,,,,Arizona,
,Pinyon Jay,,,,,Utah,
,Steller's Jay,,,Vail,,Colorado,
,Woodhouse's Scrub-Jay,,,Shwayder Camp,,Colorado,
,Yellow-billed Magpie,,,Central Valley,,California ,
Sturnidae,European Starling,,,Backyard,,Nebraska,
Passeridae,House Sparrow,,,Backyard,,Nebraska,
Vireonidae,Bell's Vireo,,,Fontenelle Forest,,Nebraska,
,Blue-headed Vireo,,,Neal Woods,,Nebraska ,
,Hutton's Vireo,,,Golden Gate Park,,California,
,Philadelphia Vireo,,,Schram Park,,Nebraska,
,Plumbeous Vireo,Vireo plumbeus,5/11/18,PLJV Office Park,,Colorado,
,Red-eyed Vireo,,,Schram Park,,Nebraska,
,Warbling Vireo,,,Schram Park,,Nebraska,
,White-eyed Vireo,,5/11/19,Jakes Landing,,New Jersey,
,Yellow-throated Vireo,,,Fontenelle Forest,,Nebraska,
Fringillidae,American Goldfinch,Carduelis tristis,,Backyard,,Nebraska,
,Black Rosyfinch,,12/25/21,Powder Mountain,,Utah,
,Brown-capped Rosyfinch,,,Mount Evans,,Colorado,
,Cassin's Finch,,, Breckinridge,,Colorado,
,Common Redpoll,,2/8/09,Backyard,,Nebraska,
,Evening Grosbeak,,,W.O.N.R.,,Idaho,
,Grey-Crowned Rosyfinch,,,Talkeetna Mts.,,Alaska,
,House Finch,,,Backyard,,Nebraska,
,Lawrence's Goldfinch,Carduelis lawrenci,12/30/09,Scottsdale,,Arizona,
,Lesser Goldfinch,,,Oakland,,California,
,Pine Grosbeak,,,Vail,,Colorado,
,Pine Siskin,,,Vail,,Colorado,
,Purple Finch,,,Windy Hill,,California,
,Red Crossbill,Loxia curvirostra,6/5/11,Pine Ridge,,Nebraska,
Parulidae,American Redstart,,,Fontenelle Forest,,Nebraska,
,Bay-breasted Warbler,Setophaga castanea,5/26/18,Tawas Point,,Michigan,
,Black and White Warbler,,,Audoban Center,,Connecticut,
,Black-throated Blue Warbler,,4/24/21,Hooks Woods,,Texas,
,Black-throated Gray Warbler,Setophage nigrescens,6/9/18,Chiricahua National Monument,,Arizona,
,Black-throated Green Warbler,Setophaga virens,5/26/18,Tawas Point,,Michigan,
,Blackburnian Warbler,,,Schram Park,,Nebraska,
,Blackpoll Warbler,Setophaga striata,5/26/18,Tawas Point,,Michigan,
,Blue-winged Warbler,,4/24/21,High Island Hooks Woods,,Texas,
